Comment,API Call Types
"# one div that contains two divs, where the left of the two inner divs has a fixed width of 100px",OpenAI
"# This is a bit hacky, but I can't figure out a better way to enforce",LangChain
"# scale up to undo the division above, approximating the true total loss (exact would have been a sum)",OpenAI
"# ignore_eos=kai_payload.use_default_badwordsids, # TODO ban instead",OpenAI
"# objective is the original objective & task that user give to the agent, url is the url of the website to be scraped",OpenAI
"# if the character is ""none"", delete the imagine part. Due to zsh this cannot be passed to ``template`` nicely",LangChain
"# some lightweight setup, repeating it for each character shouldn't be a problem",LangChain
"# scale up to undo the division above, approximating the true total loss (exact would have been a sum)",OpenAI
"# Try to add a link from all_links, this is kind of messy.","OpenAI, LangChain"
"# filter out the ""input"" key. When web search is used, the ""input"" key is present in the response and it looks.. ugly.. so we filter it out","OpenAI, Anthropic, LangChain"
"# Words are same in all models, so running it once is good",OpenAI
"#     ),  # TODO dont understand why batchnorm1d dont work, probably some shape think. Look for the diff between these two.",OpenAI
"# Wide with 2 noisies, better than just 1 and also as good as 3.",OpenAI
"# @funix.funix(  # Funix.io, the laziest way to build web apps in Python",OpenAI
"# gpt-4 is faster, smarter, can call functions, and is all-around easier to use.",OpenAI
"# Since it's not stricly necessary, let's worry about that another day. Should probably log this somehow though.",OpenAI
"# context window is set to 1800, messages are trimmed to 1000... 700 seems nice",OpenAI
"# We only add this if we have it-- the second we have it, an interpreter gets fired up (I think? maybe I'm wrong)",OpenAI
"# First, try to split along class definitions",LangChain
"# TODO: measure data_server lags, maybe launch several instances",OpenAI
"# optional, to improve readability","OpenAI, LangChain"
"# partial rotary embeddings, which is better than full rotary",OpenAI
"# layer. This way, the rank referenced by the 'split rank' remains",OpenAI
"# scale up to undo the division above, approximating the true total loss (exact would have been a sum)",OpenAI
"# scale up to undo the division above, approximating the true total loss (exact would have been a sum)",OpenAI
"# Now go merging things, recursively splitting longer texts.",LangChain
"# scale up to undo the division above, approximating the true total loss (exact would have been a sum)",OpenAI
"# gpt-4 is faster, smarter, can call functions, and is all-around easier to use.",OpenAI
